Country,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,Human Development Index (HDI) 
Switzerland,84.3,16.6,13.9,69433,0.967
Norway,83.4,18.6,13.1,69190,0.966
Iceland,82.8,19.1,13.8,54688,0.959
Hong Kong,84.3,17.8,12.3,62486,0.956
Denmark,81.4,18.7,13.0,60365,0.948
Sweden,83.0,19.4,12.6,54508,0.947
Germany,80.9,17.0,14.1,54534,0.942
Ireland,82.0,18.9,12.7,76169,0.945
Australia,83.2,21.1,12.7,49238,0.946
Netherlands,81.7,18.6,12.4,55979,0.941
Singapore,82.8,16.5,11.6,90919,0.939
United Kingdom,80.7,17.2,13.4,46535,0.929
Japan,84.8,15.2,13.0,42274,0.925
Canada,82.7,16.4,13.8,47917,0.935
United States,77.2,16.3,13.7,64765,0.921
South Korea,83.7,16.5,12.5,44514,0.925
Luxembourg,82.6,15.1,13.0,74793,0.930
New Zealand,82.5,20.3,12.9,41951,0.937
Israel,82.3,16.1,13.3,41524,0.919
Slovenia,80.7,17.7,12.8,38012,0.918
Austria,81.3,16.0,12.3,53130,0.916
United Arab Emirates,78.7,15.7,12.8,62574,0.911
Spain,83.0,17.6,10.6,38143,0.905
France,82.5,15.8,11.6,45937,0.903
Cyprus,81.3,15.6,12.2,37415,0.896
Italy,82.9,16.2,10.7,42840,0.895
Estonia,78.6,15.9,13.5,37254,0.890
Czech Republic,77.2,16.2,12.7,38152,0.889
Greece,80.1,17.9,11.4,28637,0.887
Poland,77.0,16.0,13.2,32692,0.876
Saudi Arabia,75.4,16.1,11.3,46511,0.875
Oman,74.7,14.7,11.7,29431,0.816
Chile,78.9,16.7,10.9,24545,0.855
Argentina,75.4,17.3,11.1,20925,0.842
Uruguay,75.4,16.8,9.0,21809,0.809
Croatia,76.4,15.1,11.5,30132,0.858
Malaysia,74.9,13.0,10.6,26658,0.803
Costa Rica,77.0,16.5,8.8,19974,0.809
Russia,70.1,15.8,12.2,27166,0.822
Kazakhstan,69.4,15.8,12.3,22237,0.811
Thailand,78.7,15.6,9.3,17526,0.800
Albania,76.5,14.4,11.3,14131,0.796
Bulgaria,71.5,13.9,11.4,23071,0.795
Grenada,74.9,16.6,9.0,13483,0.795
Barbados,77.6,15.7,10.5,15256,0.790
China,78.2,14.2,7.6,17504,0.768
Sri Lanka,76.4,14.1,10.8,12578,0.782
Mexico,70.2,14.9,9.2,17896,0.758
Brazil,72.8,15.6,8.1,14370,0.754
Colombia,72.8,14.4,8.5,14324,0.752
Ecuador,73.7,14.9,8.8,10312,0.740
Peru,72.4,15.4,9.2,12246,0.762
Algeria,76.4,14.6,8.0,10800,0.745
Tunisia,73.8,15.4,7.4,10258,0.731
Jordan,74.3,10.6,10.4,9888,0.720
Ukraine,71.6,15.1,11.4,13256,0.773
South Africa,62.3,13.6,10.2,12948,0.713
Egypt,70.2,13.8,7.4,11801,0.731
Indonesia,67.6,13.7,8.6,11466,0.705
Vietnam,73.6,13.0,8.4,7867,0.703
Philippines,69.3,13.1,9.4,8920,0.699
Morocco,74.0,14.2,5.6,7303,0.683
Iraq,70.4,11.3,7.3,9125,0.686
India,67.2,11.9,6.7,6590,0.633
Nicaragua,73.8,12.6,7.1,5625,0.667
Bangladesh,72.4,12.4,6.2,5472,0.661
Tuvalu,64.5,12.3,10.3,6234,0.641
Ghana,63.8,12.0,5.7,5437,0.632
Honduras,70.1,10.1,6.6,5212,0.621
Kenya,61.4,11.3,6.7,4424,0.601
Pakistan,66.1,8.6,4.5,4624,0.544
Nepal,66.3,12.2,5.1,3854,0.602
Cambodia,69.6,11.5,5.1,4046,0.593
Angola,61.6,12.2,5.4,5466,0.586
Nigeria,52.7,10.1,5.2,4910,0.535
Rwanda,66.1,11.2,4.4,2214,0.534
Uganda,62.7,10.1,5.7,2181,0.525
Ethiopia,65.0,9.2,3.2,2361,0.498
Madagascar,64.5,8.8,4.8,1484,0.487
Yemen,63.8,9.1,3.2,1314,0.455
Niger,61.6,5.7,2.1,1240,0.400
Chad,52.5,7.4,2.5,1360,0.394